iter	Passed	Remaining
0	28	57497
1	36	35994
2	43	29019
3	50	25032
4	75	29935
5	83	27807
6	91	26086
7	100	24956
8	108	23997
9	116	23100
10	123	22278
11	131	21726
12	138	21134
13	146	20785
14	153	20374
15	161	20059
16	168	19672
17	175	19315
18	182	19026
19	189	18758
20	196	18484
21	203	18253
22	209	18023
23	216	17792
24	222	17615
25	229	17454
26	237	17368
27	246	17379
28	255	17380
29	264	17380
30	273	17382
31	285	17586
32	304	18132
33	322	18625
34	331	18611
35	338	18485
36	348	18470
37	356	18421
38	365	18355
39	373	18308
40	380	18183
41	396	18466
42	406	18487
43	416	18509
44	445	19346
45	481	20440
46	489	20322
47	497	20224
48	504	20106
49	512	19997
50	518	19819
51	525	19689
52	533	19580
53	539	19442
54	546	19323
55	553	19199
56	559	19084
57	566	18956
58	572	18836
59	579	18726
60	585	18607
61	591	18498
62	597	18381
63	605	18308
64	611	18209
65	618	18109
66	623	18000
67	629	17880
68	634	17768
69	640	17657
70	646	17551
71	651	17446
72	656	17342
73	662	17238
74	667	17138
75	672	17034
76	678	16938
77	683	16846
78	689	16756
79	694	16676
80	700	16597
81	706	16518
82	712	16463
83	718	16393
84	724	16320
85	730	16253
86	735	16182
87	741	16116
88	747	16049
89	753	15982
90	758	15913
91	764	15846
92	769	15783
93	775	15726
94	780	15661
95	786	15603
96	792	15544
97	797	15476
98	803	15421
99	808	15362
100	814	15309
101	820	15259
102	825	15204
103	831	15153
104	837	15107
105	842	15049
106	847	15001
107	853	14952
108	859	14904
109	865	14874
110	873	14857
111	879	14822
112	885	14782
113	891	14744
114	897	14709
115	903	14670
116	908	14625
117	914	14586
118	920	14542
119	925	14503
120	931	14459
121	937	14424
122	942	14384
123	948	14345
124	954	14313
125	960	14280
126	969	14292
127	974	14257
128	980	14223
129	987	14200
130	993	14170
131	999	14140
132	1005	14109
133	1011	14082
134	1017	14050
135	1022	14020
136	1028	13984
137	1033	13946
138	1039	13913
139	1045	13885
140	1051	13869
141	1057	13838
142	1063	13810
143	1069	13782
144	1074	13750
145	1080	13723
146	1086	13694
147	1092	13669
148	1098	13642
149	1103	13608
150	1108	13576
151	1114	13547
152	1119	13513
153	1125	13490
154	1131	13466
155	1137	13440
156	1143	13424
157	1149	13397
158	1154	13368
159	1160	13344
160	1165	13317
161	1171	13286
162	1176	13258
163	1182	13237
164	1187	13211
165	1193	13191
166	1200	13173
167	1206	13154
168	1212	13131
